,Корреляция,normalized_rmse,combined_score
"Активы, млрд руб",0.855321513461741,0.9315233101254788,0.7967519274414153
"Чистые активы, млрд руб",0.7912993868907584,0.9147075547273398,0.7238075272400888
"Себестоимость, млрд руб",0.7085229109021833,0.969606998785439,0.6869887732105889
"Выручка, млрд руб",0.670060557583372,0.9232728143143427,0.6186486967610376
"Баланс стоимость, млрд руб",0.7264307291262707,0.8395500963905579,0.6098749886590238
"BV/акцию, руб",0.7313302163418486,0.8196780354238783,0.5994553149772064
"EV, млрд руб",0.6663855551491875,0.8172640730877476,0.5446129730480649
"EPS, руб",0.713582230214362,0.5858751856446551,0.41807012159956636
"ROA, %",0.6677661067742336,0.5587560310068789,0.3731183394620865
"FCF/акцию, руб",0.649109427980472,0.0,0.0
